Beer Name (Full),Name,Country
Millstream Brewing Company Millstream Schokolade Bock,Schokolade Bock,United States
Matt Brewing Company Saranac Chocolate Lager,Saranac Chocolate Lager,United States
Granite City Food & Brewery Brother Benedict's Bock,Brother Benedict's Bock,United States
Atwater Block Brewery Atwater Winter Bock,Winterbock,United States
Creemore Springs Brewery Limited Creemore Springs UrBock,Creemore Springs UrBock,Canada
Rock Art Brewery Mountain Holidays In Vermont Rich Creamy Bock Lager,Mountain Holidays In Vermont,United States
Minhas Craft Brewery Huber Bock Beer,Huber Bock Beer,United States
Browar Amber Kozlak,Kozlak,Poland
Amarcord Birra Artigianale Italiana Nero's 1st Century Double Dark Malt Ale,Nero's 1st Century Double Dark Malt Ale,Italy
Jopen Bier BV Haarlem Jopen Bokbier,Bokbier,Netherlands
Kulmbacher Brauerei AG Mönchshof Bockbier,Mönchshof Bockbier,Germany
Red Oak Brewery Battlefield Bock,Battlefield Bock,United States
Brasserie d'Achouffe Chouffe-Bok,Chouffe-Bok 6666,Belgium
Bierbrouwerij Sint Christoffel B.V Christoffel Bokbier,Christoffel Bokbier,Netherlands
Aass Brewery Aass Bock,Aass Bock,Norway
"Lion Brewery, Inc. Stegmaier Brewhouse Bock",Stegmaier Brewhouse Bock,United States
Micro-Brasserie L'Alchimiste Bock De Joliette,Bock De Joliette,Canada
Dreher Brewery Dreher Bak,Dreher Bak,Hungary
Weisses Bräuhaus G. Schneider & Sohn GmbH Schneider Aventinus,Schneider Weisse Tap 6 Unser Aventinus,Germany
Bayerische Staatsbrauerei Weihenstephan Weihenstephaner Vitus,Vitus,Germany
Victory Brewing Company Moonglow Weizenbock,Moonglow Weizenbock,United States
Lagunitas Brewing Company Bavarian-Styled Doppel Weizen,Bavarian-Styled Doppel Weizen,United States
Erdinger Weissbräu Erdinger Weissbier Pikantus,Erdinger Weissbier Pikantus,Germany
High Point Brewing Company Ramstein Winter Wheat,Ramstein Winter Wheat,United States
Weisses Bräuhaus G. Schneider & Sohn GmbH Schneider Weisse Tap X Mein Nelson Sauvin,Schneider Weisse Tap X Mein Nelson Sauvin,Germany
Live Oak Brewing Company Live Oak Primus Weizenbock,Primus Weizenbock,United States
Mahrs-Bräu Der Weisse Bock,Der Weisse Bock,Germany
Brauerei Michael Plank Plank Bavarian Heller Weizenbock,Plank Bavarian Heller Weizenbock,Germany
Brauerei Michael Plank Plank Bavarian Dunkler Weizenbock,Plank Bavarian Dunkler Weizenbock,Germany
Le Trou Du Diable La Shawinigan Handshake,La Shawinigan Handshake,Canada
Les Trois Mousquetaires Weizenbock Grande Cuvée,Weizenbock Grande Cuvée,Canada
Cervejaria Sudbrack Ltda Eisenbahn Vigorosa (Weizenbock),Eisenbahn Vigorosa (Weizenbock),Brazil
Fat Heads Brewery & Saloon Alpen Glow Weizenbock,Alpen Glow,United States
Peak Organic Brewing Company Peak Organic Weiss Principal,Weiss Principal Imperial Hefe,United States
Atwater Block Brewery Teufel Bock,Teufel Bock,United States
"Bayern Brewing, Inc. Face Plant Doppelweizen",Face Plant,United States
Weissbierbrauerei Hopf Hopf Weisser Bock,Hopf Weisser Bock,Germany
Rahr & Sons Brewing Company Angry Goat,Angry Goat,United States
Pennsylvania Brewing Company Weizenbock,Weizenbock,United States
Appalachian Brewing Company Volks Weizenbock,Volks Weizenbock,United States
Scuttlebutt Brewing Company Weizen Bock,Weizen Bock,United States
Heineken Nederland B.V. Heineken Tarwebok,Heineken Tarwebok,Netherlands
Olde Hickory Brewery Weizenbock,Weizenbock,United States
Heavy Seas Beer Heavy Seas - Yule Tide,Yule Tide (2015+),United States
Aktien-Brauerei Kaufbeuren AG St. Blasius Weizenbock,St. Blasius Weizenbock,Germany
Blue Mountain Brewery Summer Haze Pale Weizenbock,Summer Haze Pale Weizenbock,United States
Urban Chestnut Brewing Company Maximilian,Maximilian,United States
Mill Street Brew Pub Mill Street Weizenbock,Weizenbock,Canada
Portsmouth Brewery Portsmouth Weizenbock,Portsmouth Weizenbock,United States
Les Brasseurs Du Temps DumDuminator,DumDuminator,Canada
Kuhnhenn Brewing Company Kuhnhenn Braggot,Braggot,United States
Jackie O's Pub & Brewery Baklava Braggot,Baklava Braggot,United States
The People's Pint Slippery Slope,Slippery Slope,United States
Dansk Mjød A/S Old Danish Braggot,Old Danish Braggot,Denmark
Portsmouth Brewery Portsmouth Killer Bee,Portsmouth Killer B,United States
Rabbit's Foot Meadery Biere De Miele,Biere De Miele,United States
Valkyrie Brewing Mjød,Mjød,United States
"White Winter Winery, Inc. Premium Oak Brackett",Premium Oak Brackett,United States
Mountain Sun Pub & Brewery Hummingbird,Hummingbird,United States
Crabtree Brewing Company Braggot,Braggot,United States
"White Winter Winery, Inc. White Winter Brackett",White Winter Brackett,United States
"South Street Brewery Honey, I Can Explain","Honey, I Can Explain",United States
Saku Brewery LTD Saku Mõdu,Saku Mõdu,Estonia
Craftsman Brewing Co. Craftsman Spring Braggot,Spring Braggot,United States
Russian River Brewing Company Sanctification,Sanctification,United States
Victory Brewing Company Wild Devil,Wild Devil,United States
Russian River Brewing Company Defenestration,Defenestration,United States
Dogfish Head Brewery Indian Brown Ale,Indian Brown Ale,United States
Dogfish Head Brewery Palo Santo Marron,Palo Santo Marron,United States
Rogue Ales Hazelnut Brown Nectar,Hazelnut Brown Nectar,United States
Big Sky Brewing Company Moose Drool Brown Ale,Moose Drool Brown Ale,United States
Smuttynose Brewing Company Smuttynose Old Brown Dog Ale,Old Brown Dog,United States
Surly Brewing Company Coffee Bender,Coffee Bender,United States
Lagunitas Brewing Company Wilco Tango Foxtrot,Wilco Tango Foxtrot,United States
Brooklyn Brewery Brooklyn Brown Ale,Brown Ale,United States
Avery Brewing Company Ellie's Brown Ale,Ellie's Brown Ale,United States
Surly Brewing Company Bender,Bender,United States
Founders Brewing Company Founders Sumatra Mountain Brown,Sumatra Mountain Brown,United States
Kona Brewing Co. Koko Brown,Koko Brown,United States
Abita Brewing Co. Pecan Harvest Ale,Pecan Ale,United States
Tommyknocker Brewery Maple Nut Brown Ale,Maple Nut Brown Ale,United States
Tyranena Brewing Company Rocky's Revenge Bourbon Brown,Rocky's Revenge Bourbon Brown,United States
Anchor Brewing Company Brekle's Brown,Brekle's Brown,United States
Short's Brewing Company Short's Bellaire Brown Ale,Bellaire Brown Ale,United States
Hill Farmstead Brewery George,George,United States
The Duck-Rabbit Craft Brewery Duck-Rabbit Brown Ale,Brown Ale,United States
Yazoo Brewing Company Dos Perros,Dos Perros,United States
Tommyknocker Brewery Imperial Nut Brown Ale,Imperial Nut Brown Ale,United States
Bear Republic Brewing Co. Pete's Brown (Tribute Ale),Peter Brown Tribute Ale,United States
Short's Brewing Company Good Humans,Good Humans Ale (Dry Hopped Double Brown Ale),United States
Lonerider Brewing Sweet Josie Brown Ale,Sweet Josie Brown Ale,United States
Firestone Walker Brewing Co. Bravo Brown,Bravo 2017,United States
Boulder Beer / Wilderness Pub Flashback Ale,Flashback Ale,United States
Ale Asylum Mad Town Nut Brown,Madtown Nutbrown,United States
Half Acre Beer Company Over Ale,Over Ale,United States
Abbaye de Leffe S.A. Leffe Brune / Brown,Leffe Brune / Brown,Belgium
Unibroue Noire De Chambly / Chambly Noire,Noire De Chambly / Chambly Noire,Canada
River Horse Brewing Co. River Horse Belgian Freeze Belgian Style Winter Ale,Belgian Freeze Belgian Style Winter Ale,United States
Ithaca Beer Company Cold Front,Cold Front,United States
Brouwerij St. Bernardus NV Grottenbier,Grottenbier,Belgium
Russian River Brewing Company Rejection,Rejection,United States
Brasserie Artisanale De Rullés SPRL La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),Belgium
Rinkuškiai Alaus Darykloje Werewolf,Werewolf,Lithuania
Brouwerij Corsendonk Tempelier,Tempelier,Belgium
Brouwerij Kerkom Bink Bruin,Bink Bruin,Belgium
Lift Bridge Brewery Biscotti,Biscotti,United States
Karl Strauss Brewing Company Fullsuit Belgian-Style Brown Ale,Fullsuit Belgian-Style Brown Ale,United States
Weyerbacher Brewing Co. Tango,D’Tango Unchained,United States
Brouwerij De Koninck NV Winter Koninck,Winter Koninck,Belgium
Brouwerij Haacht NV Tongerlo 6 Dubbel Bruin,Tongerlo 6 Dubbel Bruin,Belgium
Brasserie Thiriez Bière De Noël,Bière De Noël,France
Cathedral Square Brewery Belgian-Style Abbey Ale,Abbey Ale,United States
Abbaye de Leffe S.A. Leffe De Noël,Leffe De Noël,Belgium
The Brewer's Art Brewer's Art Proletary Ale,Proletary Ale,United States
North by Northwest Restaurant & Brewery Black Jack (Bourbon Barrel Aged),Black Jack (Bourbon Barrel Aged),United States
Brasserie Artisanale De Rullés SPRL La Rullés Brune (Bière De Gaume),La Rullés Brune (Bière De Gaume),Belgium
Black Raven Brewing Co. La Petite Mort,La Petite Mort,United States
Abbaye de Leffe S.A. Leffe Rossa,Leffe Rossa,Belgium
North by Northwest Restaurant & Brewery North By Northwest Okanogan Black Ale,North By Northwest Okanogan Black Ale,United States
Brouwerij Contreras Valeir Donker,Valeir Donker,Belgium
Ladyface Ale Companie Blind Ambition,Blind Ambition,United States
Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Nut Brown Ale,Nut Brown Ale,United Kingdom
Cigar City Brewing Maduro Oatmeal Brown Ale,Maduro Brown Ale,United States
Abita Brewing Co. Turbodog,Turbodog,United States
Lazy Magnolia Brewing Company Southern Pecan,Southern Pecan,United States
New Glarus Brewing Company Fat Squirrel Ale,Fat Squirrel Ale,United States
Cigar City Brewing Maduro Oatmeal Brown Ale - Cubano-Style Espresso,Cubano-Style Espresso Brown Ale,United States
AleSmith Brewing Company AleSmith Nautical Nut Brown Ale,Nut Brown Ale,United States
Lost Coast Brewery and Cafe Downtown Brown,Downtown Brown,United States
Weyerbacher Brewing Co. Winter Ale,Winter Ale,United States
SweetWater Brewing Company Sweetwater Georgia Brown,Georgia Brown,United States
Long Trail Brewing Co. Harvest,Harvest,United States
Dark Horse Brewing Company Dark Horse Boffo Brown Ale,Boffo Brown Ale,United States
Cigar City Brewing Maduro Oatmeal Brown Ale - Oatmeal Raisin Cookie,Oatmeal Raisin Cookie Brown Ale,United States
Tröegs Brewing Company Tröegs Rugged Trail Nut Brown Ale,Rugged Trail Nut Brown Ale,United States
Black Toad Brewing Co. Black Toad Dark Ale,Black Toad Dark Ale,United States
Legend Brewing Co. Brown Ale,Brown Ale,United States
Real Ale Brewing Company Brewhouse Brown Ale,Brewhouse Brown Ale,United States
Ithaca Beer Company Nut Brown Ale,Nut Brown Ale,United States
Woodstock Inn Brewery Pig's Ear Brown Ale,Pig's Ear Brown Ale,United States
Jackie O's Pub & Brewery Chomolungma,Chomolungma,United States
Peak Organic Brewing Company Peak Organic Nut Brown Ale,Nut Brown Ale,United States
Short's Brewing Company Short's The Woodmaster,Woodmaster,United States
Big Boss Brewing Bad Penny Brown Ale,Bad Penny,United States
DuClaw Brewing Company Euphoria,Euforia,United States
Upslope Brewing Company Brown Ale,Brown Ale,United States
Nebraska Brewing Company NBC Brunette Nut Brown Ale,Brunette Nut Brown Ale,United States
Santa Fe Brewing Company Nut Brown Ale,Nut Brown Ale,United States
Saint Arnold Brewing Company Saint Arnold Brown Ale,Brown Ale,United States
Back Forty Beer Co. Truck Stop Honey Brown Ale,Truck Stop Honey Brown Ale,United States
Ska Brewing Co. Buster Nut Brown Ale,Buster Nut Brown Ale,United States
Flossmoor Station Restaurant & Brewery Pullman Brown Ale,Pullman Nut Brown,United States
Arcadia Brewing Company Arcadia Nut Brown Ale,Nut Brown Ale,United States
Alaskan Brewing Co. Alaskan Heritage Coffee Brown Ale,Heritage Coffee Brown Ale,United States
Big Rock Brewery Traditional Ale,Traditional Ale,Canada
Brau Brothers Brewing Co. LLC Ring Neck Braun Ale,Ring Neck Braun Ale,United States
Moat Mountain Smoke House & Brewing Co. Moat Brown,Bone Shaker Brown,United States
Shipyard Brewing Co. Brewer's Brown Ale,Brewer's Brown Ale,United States
D.L. Geary Brewing Company Geary's Autumn Ale,Geary's Autumn Ale,United States
Sprecher Brewing Company Pub Brown Ale,Pub Brown Ale,United States
Empyrean Brewing Company Third Stone Brown,Third Stone Brown,United States
Anchor Brewing Company Anchor Steam Beer,Anchor Steam Beer,United States
Toppling Goliath Brewing Company Dorothy's New World Lager,Dorothy's New World Lager,United States
Furthermore Beer Oscura,Oscura,United States
Local Option Dampf Loc,Dampf Loc,United States
Steamworks Brewing Co. Steam Engine Lager,Steam Engine Lager,Canada
Short's Brewing Company Short's Village Reserve,Village Reserve,United States
Peekskill Brewery Hop Common,Hop Common,United States
Cismontane Brewing Company The Citizen,The Citizen,United States
Ölvisholt Brugghús Skjálfti,Skjálfti,Iceland
Mountain Goat Beer Pty Ltd Mountain Goat Steam Ale,Mountain Goat Steam Ale,Australia
Sierra Blanca Brewing Company (Rio Grande) Rio Grande Outlaw Lager,Rio Grande Outlaw Lager,United States
Liberty Street Brewing Company Steamy Windows,Steamy Windows,United States
Beer Works Boston Common,Boston Common,United States
Lake Louie Brewery Company Mosquito Beach,Mosquito Beach,United States
Portsmouth Brewing Co. / Mault's Brewpub Portsmouth Brewing Red Bird Ale,Red Bird Ale,United States
Aviator Brewing Company Steamhead,Steamhead,United States
Anaheim Brewery 1888.0,1888,United States
Linden Street Brewery Urban People's Common Lager,Urban People's Common Lager,United States
Palmetto Brewing Company Palmetto Aftershock,Aftershock,United States
Sun King Brewing Company Westy,Westy,United States
Dogfish Head Brewery Theobroma,Theobroma,United States
Rogue Ales Chipotle Ale,Chipotle Ale,United States
Twisted Pine Brewing Company Ghost Face Killah,Ghost Face Killah,United States
5 Rabbit Cerveceria 5 Vulture,5 Vulture,United States
Twisted Pine Brewing Company Billy's Chilies Beer (Timberline Series),Billy's Chilies Beer (Timberline Series),United States
Upright Brewing Company Fatali Four,Fatali Four,United States
Bent River Brewing Company Jalapeño Pepper Ale,Jalapeño Pepper Ale,United States
Horseheads Brewing Inc. Hot-Jala-Heim,Hot-Jala-Heim,United States
Sierra Blanca Brewing Company (Rio Grande) Rio Grande Pancho Verde Chile Cerveza,Rio Grande Pancho Verde Chile Cerveza,United States
Wynkoop Brewing Company Patty's Chile Beer,Patty's Chile Beer,United States
Asheville Brewing Company Fire Escape,Fire Escape,United States
Twisted X Brewing Company Fuego,Fuego,United States
Throwback Brewery Throwback Spicy Bohemian,Spicy Bohemian,United States
Six Rivers Brewery Chili Pepper Ale,Chili Pepper Ale,United States
Weston Brewing Company & O'Malley's Pub Li'L Lucy's Hot Pepper Ale,Li'L Lucy's Hot Pepper Ale,United States
Midtfyns Bryghus Midtfyns Chili Tripel,Chili Tripel,Denmark
Tommyknocker Brewery Chili Lager,Green Chile Lager,United States
Valkyrie Brewing Hot Chocolate,Hot Chocolate,United States
Coopersmith's Pub & Brewing Sigda's Green Chili,Sigda's Green Chili,United States
Fitger's Brewhouse Wildfire Lager,Wildfire Lager,United States
Great Dane Pub & Brewing Company (Downtown) Tri-Pepper Pilsener,Tri-Pepper Pilsener,United States
Microbrasserie du Lièvre El Lapino,El Lapino,Canada
Dragonmead Microbrewery Dragonmead Ring Of Fire,Ring Of Fire,United States
Flat Branch Pub & Brewery Green Chili Beer,Green Chili Beer,United States
Calapooia Brewing Company Chili Beer,Chili Beer,United States
New Glarus Brewing Company Spotted Cow,Spotted Cow,United States
Anderson Valley Brewing Company Summer Solstice Cerveza Crema,Summer Solstice,United States
Genesee Brewing Co. / Dundee Brewing Co. Genesee Cream Ale,Genesee Cream Ale,United States
Greene King / Morland Brewery Wexford Irish Cream Ale,Wexford Irish Cream Ale,United Kingdom
Sun King Brewing Company Sunlight Cream Ale,Sunlight Cream Ale,United States
Terrapin Beer Company Terrapin Golden Ale,Golden Ale,United States
Hudepohl-Schoenling Brewing Co. Little Kings Cream Ale,Little Kings Cream Ale,United States
Foothills Brewing Company Carolina Blonde,Carolina Blonde,United States
Pelican Pub & Brewery Kiwanda Cream Ale,Kiwanda Cream Ale,United States
Erie Brewing Co. Derailed Black Cherry Ale,Derailed Black Cherry Cream Ale,United States
Muskoka Brewery Dry Hopped Cream Ale,Cream Ale,Canada
Alltech’s Lexington Brewing and Distilling Co. Kentucky Cream Ale,Kentucky Vanilla Barrel Cream Ale,United States
Sleeman Breweries Ltd. Sleeman Cream Ale (64*),Sleeman Cream Ale (64*),Canada
Grey Sail Brewing of Rhode Island Flagship Ale,Flagship Ale,United States
Thomas Creek Brewery Stillwater Vanilla Cream Ale,Stillwater Vanilla Cream Ale,United States
Bold City Brewery Killer Whale Cream Ale,Killer Whale Cream Ale,United States
Swamp Head Brewery & Tasting Room Wild Night Honey Cream Ale,Wild Night Honey Cream Ale,United States
Mike Hess Brewing Grazias,Grazias,United States
Blitz-Weinhard Brewing Co. Henry Weinhard's Blue Boar Ale,Henry Weinhard's Blue Boar Ale,United States
Furthermore Beer Fallen Apple,Fallen Apple,United States
Cameron's Brewing Co. Cream Ale,Cosmic Cream Ale,Canada
Crow Peak Brewing Canyon Cream Ale,Canyon Cream Ale,United States
Empire Brewing Company Cream Ale,Cream Ale,United States
Granville Island Brewery Kitsilano Maple Cream Ale,Kitsilano Maple Cream Ale,Canada
Bières de Chimay S.A. Chimay Première (Red),Première (Red),Belgium
Unibroue Maudite,Maudite,Canada
Brewery Ommegang Ommegang (Abbey Ale),Abbey Ale,United States
Brouwerij Westmalle Westmalle Trappist Dubbel,Westmalle Trappist Dubbel,Belgium
Brasserie de Rochefort Trappistes Rochefort 6,Trappistes Rochefort 6,Belgium
Brouwerij St. Bernardus NV St. Bernardus Prior 8,Prior 8,Belgium
New Belgium Brewing Abbey Belgian Style Ale,Abbey,United States
Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) Trappist Westvleteren 8,Trappist Westvleteren 8 (VIII),Belgium
Goose Island Beer Co. Pere Jacques,Père Jacques,United States
Allagash Brewing Company Allagash Dubbel Ale,Dubbel Ale,United States
